Age,Working_Class,fnlwgt,Education_Level,Years_In_Education,Status,Occupation,Relationship_Status,Race,Gender,Capital_Gain,Capital_Loss,Hours_Per_week,Country,Income
56,3,131916.0,11,9.0,6,3,1,4,0,0.0,0.0,50.0,38,0.0
18,2,54440.0,15,10.0,4,7,3,4,1,0.0,0.0,20.0,38,0.0
39,2,280215.0,11,9.0,0,5,3,2,1,0.0,0.0,40.0,38,0.0
21,2,214399.0,15,10.0,4,7,3,4,0,0.0,1721.0,24.0,38,0.0
22,2,54164.0,11,9.0,4,7,1,4,1,14084.0,0.0,60.0,38,1.0
38,2,219446.0,6,5.0,3,3,1,4,1,0.0,0.0,54.0,25,0.0
21,2,110677.0,15,10.0,4,0,3,4,0,0.0,0.0,40.0,38,0.0
63,2,145985.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0.0
34,1,382078.0,9,13.0,2,3,0,4,1,3103.0,0.0,50.0,38,1.0
42,3,170721.0,11,9.0,2,3,0,4,1,5178.0,0.0,50.0,38,1.0
33,2,269705.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,0.0
30,2,101135.0,9,13.0,4,3,1,4,0,0.0,0.0,50.0,38,0.0
39,2,118429.0,15,10.0,0,11,1,4,1,0.0,0.0,40.0,38,0.0
26,2,31208.0,12,14.0,4,3,1,4,0,0.0,0.0,40.0,38,0.0
33,2,281384.0,11,9.0,4,6,3,4,0,0.0,0.0,40.0,38,0.0
47,1,171807.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,0.0
41,2,109912.0,9,13.0,4,7,1,4,0,0.0,0.0,40.0,0,0.0
41,3,445382.0,7,12.0,2,2,0,4,1,15024.0,0.0,60.0,38,1.0
19,2,105460.0,15,10.0,4,7,3,4,1,0.0,0.0,20.0,38,0.0
46,2,170338.0,11,9.0,5,13,1,4,1,0.0,0.0,40.0,38,0.0
43,2,102606.0,11,9.0,2,11,0,4,1,0.0,0.0,48.0,38,0.0
55,2,323887.0,15,10.0,2,3,0,4,1,15024.0,0.0,45.0,38,1.0
46,2,175622.0,8,11.0,2,12,0,4,1,0.0,0.0,40.0,38,0.0
30,2,229636.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,25,0.0
21,2,388946.0,15,10.0,5,5,1,4,0,0.0,0.0,40.0,38,0.0
46,2,269034.0,15,10.0,2,2,0,3,1,0.0,0.0,40.0,6,0.0
41,2,75012.0,11,9.0,2,6,0,4,1,0.0,0.0,50.0,38,0.0
69,3,174379.0,11,9.0,2,11,0,4,1,0.0,0.0,30.0,38,0.0
50,2,312477.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,0.0
20,2,72055.0,15,10.0,4,0,1,4,0,0.0,0.0,40.0,38,0.0
45,3,67001.0,15,10.0,2,6,0,4,1,0.0,0.0,50.0,38,0.0
23,2,213734.0,9,13.0,4,3,1,4,1,0.0,0.0,40.0,38,0.0
24,2,83141.0,15,10.0,5,7,1,4,1,0.0,1876.0,40.0,38,0.0
44,3,223881.0,11,9.0,2,2,0,4,1,99999.0,0.0,50.0,0,1.0
31,4,113752.0,15,10.0,2,2,0,4,1,0.0,0.0,50.0,38,0.0
43,2,170482.0,11,9.0,5,6,1,4,0,0.0,0.0,44.0,38,0.0
20,0,244689.0,1,7.0,4,7,3,4,0,0.0,0.0,10.0,38,0.0
55,2,160631.0,11,9.0,2,11,0,4,1,0.0,0.0,56.0,38,1.0
24,0,228724.0,15,10.0,4,1,1,4,1,0.0,0.0,40.0,38,0.0
59,2,292946.0,9,13.0,4,3,1,4,0,0.0,0.0,25.0,38,0.0
49,0,77443.0,5,4.0,4,7,1,2,1,0.0,0.0,20.0,38,0.0
33,2,176410.0,12,14.0,2,9,5,4,0,5178.0,0.0,10.0,38,1.0
59,0,98984.0,9,13.0,0,0,1,4,1,0.0,0.0,40.0,38,0.0
34,2,198751.0,12,14.0,4,7,1,0,1,0.0,0.0,40.0,38,0.0
20,2,479296.0,11,9.0,4,5,3,4,1,0.0,0.0,40.0,38,0.0
25,2,235218.0,9,13.0,4,3,3,4,0,0.0,0.0,40.0,38,0.0
49,2,164877.0,0,6.0,2,4,0,4,1,0.0,0.0,40.0,38,0.0
59,2,272087.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,1.0
20,2,169699.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,0.0
33,2,202191.0,15,10.0,4,0,4,2,0,0.0,0.0,35.0,38,0.0
22,2,212261.0,15,10.0,4,13,3,2,1,0.0,0.0,39.0,38,0.0
58,4,301568.0,6,5.0,6,7,1,4,0,0.0,0.0,40.0,38,0.0
52,1,155233.0,11,9.0,6,0,4,4,0,0.0,0.0,28.0,38,0.0
36,2,75826.0,0,6.0,5,6,1,4,0,0.0,0.0,40.0,38,0.0
41,1,201520.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,0.0
28,2,154236.0,11,9.0,4,13,3,4,1,2597.0,0.0,40.0,38,0.0
19,2,289227.0,15,10.0,4,5,3,2,1,0.0,0.0,16.0,38,0.0
18,2,217439.0,11,9.0,4,7,1,4,0,0.0,0.0,28.0,38,0.0
18,2,179020.0,11,9.0,4,6,3,4,0,0.0,0.0,48.0,38,0.0
28,2,149624.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,0.0
29,2,337266.0,8,11.0,2,3,0,4,1,0.0,0.0,40.0,38,1.0
40,2,103541.0,15,10.0,2,5,0,4,1,0.0,0.0,40.0,38,0.0
26,2,206721.0,11,9.0,4,5,4,4,1,0.0,0.0,40.0,38,0.0
46,2,96773.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0.0
23,2,200967.0,1,7.0,4,7,1,4,0,0.0,0.0,24.0,38,0.0
44,2,180019.0,11,9.0,3,0,4,4,0,0.0,0.0,40.0,38,0.0
43,2,179866.0,9,13.0,0,11,4,4,0,0.0,0.0,40.0,38,1.0
31,1,198770.0,9,13.0,0,9,4,4,0,0.0,0.0,60.0,38,0.0
18,2,219256.0,15,10.0,4,11,3,4,0,0.0,0.0,25.0,38,0.0
19,2,248730.0,15,10.0,4,10,3,4,1,0.0,0.0,30.0,38,0.0
41,2,110732.0,15,10.0,0,12,1,4,0,0.0,0.0,40.0,38,0.0
41,2,181020.0,11,9.0,0,5,4,4,0,0.0,0.0,40.0,38,0.0
69,2,183791.0,11,9.0,0,0,1,4,0,0.0,0.0,25.0,38,0.0
48,0,42972.0,10,16.0,2,9,5,4,0,0.0,0.0,40.0,38,1.0
28,2,134813.0,11,9.0,4,9,3,4,1,0.0,0.0,40.0,38,0.0
27,4,115438.0,11,9.0,2,2,0,4,1,0.0,0.0,60.0,20,1.0
41,2,239296.0,12,14.0,2,9,0,4,1,0.0,2415.0,50.0,38,1.0
41,2,428420.0,15,10.0,2,0,0,4,1,0.0,0.0,40.0,38,0.0
24,2,247846.0,11,9.0,4,2,4,2,0,0.0,0.0,40.0,38,0.0
42,3,100793.0,10,16.0,2,9,0,4,1,0.0,0.0,41.0,38,1.0
57,2,244478.0,11,9.0,2,2,0,2,1,0.0,0.0,48.0,38,0.0
30,2,142921.0,7,12.0,4,9,1,4,0,0.0,0.0,40.0,38,0.0
36,2,182863.0,11,9.0,2,11,0,4,1,0.0,0.0,60.0,38,1.0
49,2,171128.0,5,4.0,2,6,0,2,1,0.0,0.0,40.0,38,0.0
33,2,145402.0,11,9.0,2,6,5,4,0,0.0,0.0,35.0,38,0.0
23,2,306309.0,0,6.0,2,4,0,4,1,0.0,0.0,40.0,38,0.0
46,2,83822.0,12,14.0,2,9,0,4,1,0.0,0.0,40.0,38,0.0
18,2,262118.0,15,10.0,4,0,3,1,0,0.0,0.0,22.0,11,0.0
40,2,155972.0,11,9.0,2,3,0,4,1,7688.0,0.0,55.0,38,1.0
43,3,214503.0,11,9.0,2,3,0,4,1,0.0,1887.0,45.0,38,1.0
34,2,159303.0,12,14.0,4,9,3,4,0,0.0,0.0,30.0,38,0.0
47,4,174995.0,11,9.0,6,3,1,4,0,0.0,0.0,30.0,38,0.0
44,2,26669.0,8,11.0,6,3,4,4,0,0.0,0.0,30.0,38,0.0
33,2,177727.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,1.0
55,2,124771.0,9,13.0,2,3,0,4,1,15024.0,0.0,50.0,38,1.0
19,2,456736.0,11,9.0,4,11,1,4,1,2907.0,0.0,30.0,38,0.0
28,2,216604.0,15,10.0,4,7,1,2,1,0.0,0.0,14.0,38,0.0
27,2,221561.0,1,7.0,2,7,5,2,0,0.0,0.0,32.0,38,0.0
50,2,114564.0,5,4.0,2,6,0,4,1,0.0,0.0,20.0,38,0.0
22,2,315476.0,1,7.0,4,2,4,4,1,0.0,0.0,40.0,38,0.0
40,5,67874.0,9,13.0,2,0,0,4,1,0.0,1887.0,45.0,38,1.0
25,2,126110.0,15,10.0,4,0,3,4,0,0.0,0.0,40.0,38,0.0
26,1,102264.0,11,9.0,4,2,1,4,1,0.0,0.0,40.0,38,0.0
22,2,537222.0,9,13.0,4,11,1,4,1,0.0,0.0,25.0,38,0.0
42,2,113732.0,15,10.0,4,5,4,2,0,0.0,625.0,40.0,38,0.0
38,3,93225.0,9,13.0,0,3,1,4,1,0.0,0.0,40.0,38,0.0
55,2,43064.0,1,7.0,2,7,0,4,1,0.0,0.0,30.0,38,0.0
32,2,136921.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,0.0
22,2,388885.0,11,9.0,2,2,0,4,1,0.0,0.0,45.0,38,0.0
29,2,142249.0,9,13.0,4,11,3,4,1,0.0,0.0,40.0,38,0.0
46,5,56841.0,12,14.0,2,3,0,4,1,0.0,0.0,45.0,38,1.0
31,2,156493.0,15,10.0,2,3,0,4,1,0.0,0.0,40.0,38,1.0
58,4,159021.0,10,16.0,2,9,0,4,1,0.0,0.0,16.0,38,1.0
42,2,190910.0,11,9.0,2,2,0,4,1,0.0,0.0,45.0,38,0.0
18,2,41879.0,11,9.0,4,5,4,4,1,0.0,0.0,25.0,38,0.0
58,1,137249.0,11,9.0,0,3,1,4,1,0.0,0.0,33.0,38,0.0
54,2,236157.0,11,9.0,2,9,0,4,1,0.0,1887.0,40.0,38,1.0
34,2,189759.0,12,14.0,4,9,1,4,1,0.0,0.0,40.0,38,0.0
26,2,239877.0,9,13.0,4,0,1,4,0,0.0,0.0,40.0,38,0.0
61,2,21175.0,2,8.0,2,3,0,4,1,0.0,0.0,60.0,38,0.0
48,1,67229.0,12,14.0,5,0,4,2,0,0.0,0.0,40.0,38,0.0
36,2,236391.0,15,10.0,2,3,0,4,1,0.0,0.0,45.0,38,1.0
24,2,325596.0,8,11.0,2,6,0,4,1,0.0,0.0,45.0,38,0.0
40,2,83411.0,15,10.0,2,6,0,4,1,0.0,0.0,37.0,38,0.0
33,3,154227.0,11,9.0,2,11,0,4,1,0.0,0.0,50.0,38,1.0
37,2,248010.0,15,10.0,2,6,0,4,1,0.0,1887.0,40.0,38,1.0
34,2,198613.0,12,14.0,4,3,3,4,1,4650.0,0.0,40.0,38,0.0
56,3,321529.0,15,10.0,2,3,0,4,1,15024.0,0.0,40.0,38,1.0
37,2,203079.0,9,13.0,6,3,1,4,0,0.0,0.0,55.0,38,0.0
44,2,284652.0,11,9.0,0,11,4,2,0,0.0,0.0,40.0,38,0.0
54,2,59840.0,11,9.0,0,5,1,4,1,0.0,0.0,45.0,38,0.0
23,2,52753.0,11,9.0,4,6,1,4,1,0.0,0.0,50.0,38,0.0
34,5,513100.0,9,13.0,3,4,1,2,1,0.0,0.0,40.0,0,0.0
22,2,199266.0,11,9.0,4,7,1,4,0,0.0,0.0,45.0,38,0.0
33,2,196385.0,9,13.0,2,3,0,4,1,0.0,1977.0,40.0,38,1.0
39,2,163205.0,9,13.0,5,9,1,4,1,0.0,0.0,50.0,38,1.0
47,2,411047.0,15,10.0,0,0,1,2,0,0.0,0.0,37.0,38,0.0
26,2,209440.0,11,9.0,4,9,4,2,0,0.0,0.0,55.0,38,0.0
31,2,56964.0,15,10.0,0,3,4,4,0,0.0,0.0,40.0,38,0.0
44,2,299197.0,15,10.0,4,13,1,4,1,0.0,0.0,45.0,38,0.0
42,3,240628.0,14,15.0,2,9,5,4,0,0.0,0.0,50.0,38,1.0
19,2,355313.0,11,9.0,4,6,1,4,0,0.0,0.0,40.0,38,0.0
27,2,132267.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,1.0
51,1,174861.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,1.0
28,3,142443.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,38,0.0
57,2,26716.0,9,13.0,0,2,1,4,1,0.0,0.0,45.0,38,0.0
45,1,185588.0,9,13.0,0,9,4,4,0,0.0,0.0,40.0,38,0.0
50,2,175029.0,8,11.0,2,9,0,4,1,0.0,0.0,40.0,38,1.0
34,3,34848.0,9,13.0,2,11,0,4,1,0.0,0.0,54.0,38,0.0
45,2,411273.0,5,4.0,2,2,0,2,1,0.0,0.0,40.0,38,0.0
73,1,143437.0,11,9.0,2,3,0,4,1,0.0,0.0,20.0,38,0.0
34,2,357145.0,9,13.0,2,9,5,4,0,0.0,0.0,50.0,38,1.0
31,2,236861.0,15,10.0,2,11,0,4,1,0.0,0.0,55.0,38,1.0
19,2,53355.0,1,7.0,4,11,1,4,1,0.0,0.0,12.0,38,0.0
25,2,29106.0,15,10.0,4,7,3,4,0,0.0,0.0,50.0,38,0.0
38,0,213274.0,8,11.0,0,2,4,4,0,6497.0,0.0,40.0,38,0.0
39,2,22463.0,9,13.0,2,13,0,4,1,0.0,0.0,40.0,38,0.0
23,2,180497.0,9,13.0,4,12,3,2,0,0.0,0.0,32.0,38,0.0
49,2,37306.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,38,0.0
33,0,137814.0,11,9.0,4,7,1,4,1,0.0,0.0,32.0,38,0.0
21,2,447488.0,4,3.0,4,6,2,4,1,0.0,0.0,38.0,25,0.0
31,2,220915.0,8,11.0,5,2,1,4,1,0.0,0.0,40.0,38,0.0
23,2,42251.0,9,13.0,4,3,1,4,0,0.0,0.0,45.0,38,0.0
34,2,162312.0,9,13.0,2,0,0,1,1,0.0,0.0,40.0,29,0.0
25,2,77698.0,11,9.0,4,6,1,1,0,0.0,0.0,40.0,29,0.0
39,2,282951.0,11,9.0,4,2,4,4,1,0.0,0.0,40.0,38,0.0
52,3,311259.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,1.0
63,1,65479.0,6,5.0,2,13,0,4,1,7688.0,0.0,40.0,38,1.0
41,2,277256.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,0.0
46,2,312088.0,9,13.0,2,9,0,4,1,15024.0,0.0,38.0,38,1.0
53,1,169719.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,0.0
18,2,96869.0,2,8.0,4,8,3,4,1,0.0,0.0,40.0,38,0.0
38,2,237943.0,14,15.0,2,9,0,4,1,0.0,0.0,50.0,38,0.0
55,2,119751.0,12,14.0,4,3,4,1,0,0.0,0.0,50.0,36,0.0
34,2,236861.0,11,9.0,2,12,0,4,1,0.0,0.0,40.0,38,1.0
80,4,201092.0,11,9.0,2,7,0,4,1,0.0,0.0,30.0,38,0.0
34,2,147215.0,8,11.0,0,12,4,4,0,0.0,0.0,60.0,38,0.0
52,2,152373.0,15,10.0,2,12,0,4,1,5013.0,0.0,40.0,38,0.0
42,2,227968.0,11,9.0,4,7,4,2,0,0.0,0.0,28.0,14,0.0
26,2,362617.0,15,10.0,4,11,1,4,0,0.0,0.0,40.0,38,0.0
31,2,103435.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,0.0
25,1,281412.0,11,9.0,4,7,3,4,0,0.0,0.0,35.0,38,0.0
55,4,105239.0,11,9.0,2,2,0,4,1,0.0,2057.0,60.0,38,0.0
19,2,230165.0,15,10.0,4,7,3,4,0,0.0,0.0,12.0,38,0.0
62,4,177493.0,15,10.0,2,13,0,4,1,0.0,0.0,32.0,38,0.0
22,0,104443.0,15,10.0,4,0,3,4,0,0.0,0.0,20.0,38,0.0
35,2,143385.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,0.0
28,2,107189.0,11,9.0,2,11,3,4,0,0.0,0.0,40.0,38,0.0
47,2,212944.0,11,9.0,2,13,0,4,1,0.0,0.0,70.0,38,1.0
44,5,138634.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,38,0.0
21,2,99970.0,15,10.0,4,11,3,4,1,0.0,0.0,15.0,38,0.0
35,2,203717.0,8,11.0,4,2,1,4,1,0.0,0.0,50.0,38,0.0
24,2,313956.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1.0
42,0,177937.0,9,13.0,4,9,1,4,1,0.0,0.0,40.0,0,0.0
28,2,193868.0,9,13.0,4,12,3,4,1,0.0,0.0,50.0,38,0.0
21,2,250939.0,15,10.0,4,6,2,4,1,0.0,0.0,35.0,38,0.0
62,0,57629.0,15,10.0,0,12,1,2,1,4650.0,0.0,40.0,38,0.0
39,2,281768.0,11,9.0,4,7,1,2,0,0.0,0.0,40.0,38,0.0
30,5,260782.0,11,9.0,4,7,1,4,1,0.0,0.0,40.0,38,0.0
72,4,243769.0,14,15.0,4,9,1,4,1,0.0,1429.0,20.0,38,0.0
50,2,109937.0,15,10.0,2,3,5,4,0,0.0,0.0,50.0,38,0.0
28,1,134890.0,12,14.0,4,9,1,4,1,0.0,0.0,40.0,38,0.0
29,2,100293.0,15,10.0,4,9,1,4,0,0.0,0.0,40.0,38,0.0
26,2,132179.0,9,13.0,4,0,3,4,0,0.0,0.0,40.0,38,0.0
27,2,116372.0,12,14.0,4,3,1,4,0,0.0,0.0,40.0,38,0.0
29,2,255412.0,15,10.0,2,5,0,4,1,3103.0,0.0,40.0,38,1.0
29,2,342400.0,0,6.0,2,2,0,4,1,0.0,0.0,25.0,38,0.0
31,2,169085.0,1,7.0,2,11,5,4,0,0.0,0.0,20.0,38,0.0
25,2,177221.0,11,9.0,2,3,0,4,1,0.0,0.0,75.0,38,0.0
58,2,65325.0,0,6.0,2,13,0,4,1,0.0,0.0,40.0,38,1.0
64,2,118944.0,15,10.0,2,3,5,4,0,0.0,0.0,40.0,38,1.0
46,5,149337.0,12,14.0,4,3,1,4,1,0.0,0.0,38.0,38,0.0
19,2,106183.0,11,9.0,4,7,3,0,0,0.0,0.0,35.0,38,0.0
42,2,226388.0,11,9.0,0,7,1,2,1,0.0,0.0,52.0,38,0.0
18,2,220754.0,1,7.0,4,5,3,4,1,0.0,0.0,24.0,38,0.0
58,3,204021.0,9,13.0,2,2,0,4,1,15024.0,0.0,50.0,38,1.0
20,2,347391.0,15,10.0,4,10,1,2,1,0.0,0.0,60.0,38,0.0
35,0,413930.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,1.0
32,2,174201.0,11,9.0,2,5,0,4,1,0.0,0.0,38.0,38,1.0
23,2,145917.0,11,9.0,4,5,1,4,0,0.0,0.0,25.0,38,0.0
31,2,241797.0,15,10.0,0,12,4,4,0,0.0,0.0,40.0,38,0.0
33,2,265168.0,9,13.0,2,11,0,2,1,0.0,0.0,55.0,38,0.0
41,2,171234.0,15,10.0,4,6,1,4,0,0.0,0.0,48.0,38,0.0
22,2,178452.0,11,9.0,4,6,3,2,1,0.0,0.0,40.0,38,0.0
46,2,157857.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,1.0
61,0,512864.0,15,10.0,2,13,0,2,1,0.0,0.0,40.0,38,0.0
30,2,296462.0,11,9.0,4,3,1,2,1,0.0,0.0,40.0,38,0.0
42,2,171615.0,11,9.0,2,3,0,4,1,0.0,0.0,55.0,38,1.0
63,2,214071.0,0,6.0,2,5,0,4,1,0.0,0.0,40.0,38,0.0
26,2,172421.0,15,10.0,2,11,0,4,1,0.0,0.0,40.0,38,0.0
42,2,195488.0,0,6.0,0,0,4,4,0,0.0,0.0,40.0,38,0.0
23,2,316841.0,15,10.0,2,7,0,4,1,0.0,0.0,40.0,38,0.0
25,2,236267.0,11,9.0,4,6,4,4,1,0.0,1590.0,40.0,38,0.0
30,2,236543.0,6,5.0,2,7,0,4,1,0.0,0.0,32.0,8,1.0
23,2,318483.0,11,9.0,4,11,3,4,1,0.0,0.0,40.0,38,0.0
34,4,163756.0,8,11.0,4,4,1,4,1,27828.0,0.0,60.0,38,1.0
30,2,238186.0,11,9.0,2,6,2,4,1,0.0,2057.0,48.0,38,0.0
39,2,329980.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,1.0
30,2,169269.0,1,7.0,4,5,2,4,1,0.0,1721.0,38.0,32,0.0
38,1,34744.0,15,10.0,0,0,4,4,0,0.0,0.0,38.0,38,0.0
26,2,98114.0,11,9.0,0,3,3,4,0,0.0,0.0,40.0,38,0.0
20,2,109667.0,15,10.0,4,5,3,4,1,0.0,0.0,16.0,38,0.0
37,1,263690.0,9,13.0,4,9,4,2,1,0.0,0.0,40.0,0,0.0
33,2,147430.0,11,9.0,2,0,3,4,0,0.0,0.0,40.0,38,0.0
24,2,224238.0,9,13.0,4,0,3,4,1,0.0,0.0,40.0,38,0.0
42,3,212894.0,9,13.0,2,3,0,4,1,0.0,0.0,60.0,38,1.0
51,4,136708.0,11,9.0,2,11,0,1,1,3103.0,0.0,84.0,39,0.0
56,1,38573.0,7,12.0,2,12,0,4,1,0.0,0.0,45.0,38,1.0
22,2,197200.0,15,10.0,4,5,3,4,1,0.0,0.0,40.0,38,0.0
52,4,182796.0,15,10.0,2,4,0,4,1,0.0,0.0,60.0,38,0.0
44,2,184527.0,9,13.0,0,3,4,4,0,4934.0,0.0,45.0,38,1.0
34,2,145231.0,11,9.0,2,0,5,4,0,4064.0,0.0,35.0,38,0.0
51,2,43354.0,15,10.0,0,2,1,4,1,0.0,0.0,42.0,38,1.0
19,2,355712.0,15,10.0,4,11,1,4,0,0.0,0.0,25.0,38,0.0
37,2,98776.0,9,13.0,2,3,0,4,1,0.0,0.0,40.0,38,1.0
68,2,257557.0,11,9.0,2,6,0,2,1,0.0,0.0,40.0,38,1.0
22,2,102258.0,15,10.0,0,10,1,4,1,0.0,0.0,40.0,38,0.0
56,3,170287.0,9,13.0,2,3,0,4,1,0.0,0.0,40.0,38,0.0
37,2,243409.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0.0
52,2,55608.0,3,2.0,2,6,0,4,1,0.0,0.0,40.0,25,0.0
26,2,248057.0,11,9.0,5,5,3,4,1,0.0,0.0,40.0,32,0.0
33,2,95530.0,12,14.0,2,9,0,4,1,0.0,0.0,50.0,38,0.0
45,1,54038.0,12,14.0,0,9,4,4,0,0.0,0.0,42.0,38,0.0
18,2,161245.0,1,7.0,4,7,3,4,1,0.0,0.0,15.0,38,0.0
43,4,388725.0,15,10.0,2,4,0,4,1,0.0,0.0,60.0,38,1.0
64,4,71807.0,10,16.0,2,9,0,4,1,15024.0,0.0,50.0,0,1.0
18,2,228216.0,11,9.0,4,5,3,4,1,0.0,0.0,20.0,38,0.0
57,2,78020.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,1.0
41,2,249254.0,11,9.0,0,0,4,4,0,3674.0,0.0,42.0,38,0.0
34,2,87218.0,12,14.0,2,3,0,4,1,0.0,1887.0,50.0,38,1.0
19,2,304299.0,11,9.0,4,11,4,4,0,0.0,0.0,40.0,38,0.0
44,2,196234.0,6,5.0,0,7,4,4,0,0.0,0.0,55.0,6,0.0
56,2,197875.0,0,6.0,6,7,4,4,0,0.0,0.0,40.0,38,0.0
36,3,48063.0,11,9.0,2,4,0,4,1,0.0,0.0,80.0,38,0.0
48,2,253596.0,9,13.0,0,3,4,4,0,0.0,0.0,48.0,38,0.0
29,2,39257.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,1.0
